,sym_1,sym_2,spread,zscore
59,18.07,1.2696,-6.448134319999998,-2.397066221800019
60,19.26,1.2847,-5.5497409899999965,-1.4763083711702818
61,19.2,1.1299,-2.6202898299999973,0.783042099665035
62,18.67,1.1057,-2.6829466899999943,0.6847081370703967
63,18.45,1.0653,-2.1227540099999977,1.0518217346244574
64,17.35,1.0569,-3.0605357299999945,0.3650108103471661
65,17.55,1.081,-3.325947699999997,0.14975795815829193
66,18.14,1.1702,-4.458551339999996,-0.6390766450672233
67,18.17,0.8072,2.5815957600000026,3.1066079867696343
68,17.58,0.8067,2.0012516100000006,2.2585572961494087
69,15.82,0.8221,-0.05614856999999951,1.198703570232771
70,15.87,0.9342,-2.170990139999999,0.2600031043430899
